                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0568,                 4.0923,                 2.3905,                0.00872,                   0.75,                0.09349,                0.02905,                  1.595,                 3.6912,                 2.0697,              0.0001429,              0.0001429,              0.0001429
                      2,                 1.6764,                 3.8575,                 2.1817,                0.01645,                   0.75,                0.18104,                0.08841,                 1.3476,                 3.5316,                 2.0171,             0.00029979,             0.00029979,             0.00029979
                      3,                 1.6093,                 3.1832,                 2.0686,                0.02391,                 0.6875,                0.33203,                0.19132,                 1.5024,                  3.501,                 2.1639,             0.00045637,             0.00045637,             0.00045637
                      4,                 1.5431,                 3.1094,                 1.9794,                 0.0198,                 0.6875,                0.31026,                0.13211,                 1.7593,                 3.4669,                 2.3166,             0.00061265,             0.00061265,             0.00061265
                      5,                 1.6213,                 3.1608,                 1.9626,                0.01514,                   0.75,                0.29603,                0.09548,                 1.8747,                 3.3453,                 2.5173,              0.0007686,              0.0007686,              0.0007686
                      6,                 1.5854,                 2.9682,                 1.8953,                0.81892,                   0.25,                0.29449,                0.06843,                 2.5745,                 3.3384,                 3.9903,             0.00092425,             0.00092425,             0.00092425
                      7,                 1.5767,                 2.8563,                 1.9405,                0.71186,                0.13982,                0.25814,                0.10463,                 1.8289,                 3.1181,                 2.4933,              0.0010796,              0.0010796,              0.0010796
                      8,                 1.5078,                 2.6777,                 1.7858,                0.62093,                 0.1875,                0.16068,                0.08107,                 1.7514,                  3.096,                 2.4361,              0.0012346,              0.0012346,              0.0012346
                      9,                 1.5022,                 2.6713,                 1.8666,                0.66455,                0.27707,                0.19475,                0.11952,                  1.644,                  3.301,                 2.3575,              0.0013893,              0.0013893,              0.0013893
                     10,                  1.466,                 2.6705,                 1.8541,                0.82279,                   0.25,                0.23218,                0.09249,                 1.5984,                 4.1806,                 2.3261,              0.0014163,              0.0014163,              0.0014163
                     11,                 1.5054,                 2.5873,                 1.8624,                0.71896,                 0.3125,                0.20746,                0.08663,                 1.6818,                 3.8615,                 2.3724,              0.0014163,              0.0014163,              0.0014163
                     12,                 1.6064,                 2.6488,                 1.9091,                0.55048,                 0.4375,                0.05684,                0.02389,                 1.7704,                 3.5957,                 2.4901,              0.0014149,              0.0014149,              0.0014149
                     13,                 1.4784,                 2.5065,                 1.8093,                0.55883,                 0.3125,                0.06305,                 0.0254,                 1.6343,                 3.6871,                 2.4877,              0.0014134,              0.0014134,              0.0014134
                     14,                 1.4981,                 2.4546,                 1.7875,                0.56573,                   0.25,                0.05682,                0.01831,                 2.4551,                 6.3937,                 3.5291,               0.001412,               0.001412,               0.001412
                     15,                 1.4998,                  2.419,                  1.852,                0.59112,                0.30662,                0.09332,                0.03686,                 2.5377,                 9.1423,                 3.5956,              0.0014106,              0.0014106,              0.0014106
                     16,                 1.3996,                 2.2635,                 1.7498,                0.71058,                   0.25,                0.18496,                0.08535,                 1.7019,                  5.294,                 2.4872,              0.0014092,              0.0014092,              0.0014092
                     17,                 1.5198,                 2.3251,                 1.8211,                0.66801,                 0.3125,                0.19289,                0.07362,                 1.8411,                 4.3228,                 2.4312,              0.0014078,              0.0014078,              0.0014078
                     18,                 1.4178,                 2.4069,                 1.7725,                0.74876,                 0.4375,                0.31212,                0.13555,                 1.7566,                 4.2985,                 2.2814,              0.0014064,              0.0014064,              0.0014064
                     19,                 1.4034,                 2.3222,                 1.8029,                0.79903,                  0.375,                0.33473,                0.14078,                 1.8115,                 4.2199,                 2.6402,              0.0014049,              0.0014049,              0.0014049
                     20,                 1.3031,                 2.1336,                 1.7041,                0.69682,                 0.1875,                0.18099,                0.11455,                 1.8645,                 4.0171,                  2.894,              0.0014035,              0.0014035,              0.0014035
                     21,                  1.311,                  2.073,                 1.7108,                0.65888,                 0.3125,                 0.1861,                0.09994,                  1.436,                 5.2318,                 2.2083,              0.0014021,              0.0014021,              0.0014021
                     22,                 1.3627,                 2.0247,                 1.6934,                0.62239,                  0.375,                0.15475,                0.07589,                 1.5627,                 4.9843,                 2.1594,              0.0014007,              0.0014007,              0.0014007
                     23,                 1.4085,                 2.1424,                 1.7941,                0.64111,                  0.375,                0.13642,                0.06196,                 1.8401,                 4.0176,                 2.4525,              0.0013993,              0.0013993,              0.0013993
                     24,                 1.3855,                 2.0343,                 1.7693,                0.60498,                 0.3125,                0.10587,                0.04143,                 1.7873,                 3.6686,                 2.8577,              0.0013979,              0.0013979,              0.0013979
                     25,                 1.3356,                 1.9369,                 1.6523,                0.68923,                  0.375,                0.19273,                0.08033,                  2.164,                 4.7178,                  3.258,              0.0013965,              0.0013965,              0.0013965
                     26,                 1.3295,                 1.9309,                  1.731,                0.61077,                  0.375,                0.15623,                0.08384,                 2.1116,                 3.4326,                 2.7142,               0.001395,               0.001395,               0.001395
                     27,                 1.2708,                 1.9459,                 1.6473,                0.71882,                  0.375,                 0.2227,                0.12867,                 1.7488,                 2.9535,                 2.6282,              0.0013936,              0.0013936,              0.0013936
                     28,                 1.3092,                 1.8689,                  1.659,                0.69773,                  0.375,                0.23581,                0.08628,                 1.8703,                 3.4905,                 2.4808,              0.0013922,              0.0013922,              0.0013922
                     29,                 1.3336,                 1.8428,                 1.6601,                 0.6904,                   0.25,                0.17862,                0.05843,                 2.3211,                 3.6051,                 2.6921,              0.0013908,              0.0013908,              0.0013908
                     30,                 1.2922,                 1.8125,                 1.6357,                0.64105,                 0.1875,                0.08174,                0.02756,                 2.3153,                 3.7825,                 2.6643,              0.0013894,              0.0013894,              0.0013894
                     31,                 1.2189,                  1.781,                 1.6366,                0.66687,                   0.25,                 0.1346,                 0.0519,                 1.9786,                 3.2149,                 2.4756,               0.001388,               0.001388,               0.001388
                     32,                 1.2735,                 1.7101,                 1.6552,                0.67795,                0.31093,                0.24582,                0.12461,                 2.0148,                 3.0815,                 2.7242,              0.0013866,              0.0013866,              0.0013866
                     33,                 1.3141,                 1.8177,                 1.6616,                0.96859,                  0.125,                0.18466,                0.06348,                 2.1891,                 3.1225,                 2.7162,              0.0013851,              0.0013851,              0.0013851
                     34,                 1.1899,                 1.7497,                 1.5434,                0.72274,                  0.375,                0.28415,                0.13182,                 2.0354,                 2.5324,                 2.6246,              0.0013837,              0.0013837,              0.0013837
                     35,                 1.1876,                 1.6372,                 1.5598,                0.78921,                 0.4375,                0.38571,                0.16993,                 1.9239,                 2.1343,                 2.5678,              0.0013823,              0.0013823,              0.0013823
                     36,                 1.2521,                 1.6374,                 1.6007,                 0.7891,                  0.375,                0.31174,                0.18016,                 1.9178,                 2.3988,                  2.795,              0.0013809,              0.0013809,              0.0013809
                     37,                 1.1612,                 1.4268,                 1.5161,                 0.7522,                 0.3125,                0.30576,                0.17047,                 1.7301,                 2.3642,                 2.4348,              0.0013795,              0.0013795,              0.0013795
                     38,                 1.1962,                  1.682,                 1.5827,                0.89526,                   0.25,                0.28724,                0.15752,                 1.7806,                 2.9177,                 2.4193,              0.0013781,              0.0013781,              0.0013781
                     39,                 1.1401,                 1.5041,                 1.5397,                0.68999,                   0.25,                0.20503,                 0.1169,                 1.9005,                 2.9676,                 2.4099,              0.0013767,              0.0013767,              0.0013767
                     40,                 1.1752,                 1.5629,                 1.5316,                0.64724,                 0.3125,                0.16242,                0.10444,                 1.7974,                 2.7514,                 2.3481,              0.0013752,              0.0013752,              0.0013752
                     41,                  1.266,                 1.7314,                 1.6512,                0.62696,                 0.1875,                0.21354,                0.10589,                 2.1563,                 2.5305,                 2.6202,              0.0013738,              0.0013738,              0.0013738
                     42,                 1.1679,                 1.5186,                 1.5605,                0.67237,                 0.1875,                0.18187,                0.09366,                  2.106,                  2.613,                 2.6403,              0.0013724,              0.0013724,              0.0013724
                     43,                 1.2088,                 1.5104,                   1.59,                0.68024,                0.24691,                0.19463,                0.10492,                 1.9075,                 2.5596,                 2.5312,               0.001371,               0.001371,               0.001371
                     44,                 1.1544,                 1.4739,                 1.5437,                0.81219,                0.31177,                0.32086,                0.15157,                 2.0702,                 2.3124,                 2.7379,              0.0013696,              0.0013696,              0.0013696
                     45,                 1.1818,                 1.3658,                 1.5225,                0.80364,                 0.3125,                0.31579,                0.14079,                 2.1639,                 2.3068,                 2.7541,              0.0013682,              0.0013682,              0.0013682
                     46,                  1.143,                 1.4134,                 1.4938,                0.73935,                   0.25,                0.28031,                  0.131,                 2.1608,                 2.4586,                 2.8124,              0.0013668,              0.0013668,              0.0013668
                     47,                 1.1912,                 1.4488,                 1.5694,                 0.8463,                 0.1875,                0.22649,                0.10601,                 2.0398,                 2.6209,                 2.5783,              0.0013653,              0.0013653,              0.0013653
                     48,                 1.0936,                  1.303,                 1.4702,                0.74369,                 0.3125,                0.24208,                 0.1073,                 2.1893,                 2.5745,                 2.6271,              0.0013639,              0.0013639,              0.0013639
                     49,                  1.136,                 1.3624,                 1.5735,                0.77683,                   0.25,                0.23857,                0.13645,                 1.8681,                 2.7841,                 2.3958,              0.0013625,              0.0013625,              0.0013625
                     50,                  1.103,                 1.2705,                  1.491,                0.80149,                 0.3125,                 0.2945,                 0.1469,                 1.6022,                 2.4381,                  2.168,              0.0013611,              0.0013611,              0.0013611
                     51,                 1.0633,                 1.2417,                 1.4244,                0.70651,                   0.25,                0.20159,                0.12308,                 1.7124,                 2.8719,                 2.1575,              0.0013597,              0.0013597,              0.0013597
                     52,                 1.1366,                 1.3605,                 1.5301,                0.84146,                 0.3125,                0.32556,                0.21448,                 1.8276,                 2.1681,                 2.4391,              0.0013583,              0.0013583,              0.0013583
                     53,                 1.1896,                 1.4703,                 1.5865,                0.90112,                 0.3125,                0.34904,                0.18183,                 1.9967,                 1.9959,                 2.7332,              0.0013568,              0.0013568,              0.0013568
