                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0216,                0.62222,                      1,                0.99984,             0.00018564,             0.00018564,             0.00018564
                      2,                0.81238,                0.76667,                      1,                0.91797,             0.00037093,             0.00037093,             0.00037093
                      3,                0.61203,                0.76111,                      1,                0.87166,             0.00054858,             0.00054858,             0.00054858
                      4,                 0.4861,                0.78333,                      1,                0.80037,             0.00067159,             0.00067159,             0.00067159
                      5,                0.46522,                0.77222,                      1,                0.78491,             0.00067159,             0.00067159,             0.00067159
                      6,                0.34256,                    0.8,                      1,                0.78768,             0.00065745,             0.00065745,             0.00065745
                      7,                0.33315,                0.78333,                      1,                0.79533,             0.00064331,             0.00064331,             0.00064331
                      8,                0.25486,                   0.75,                      1,                0.80444,             0.00062918,             0.00062918,             0.00062918
                      9,                0.25976,                0.79444,                      1,                0.80452,             0.00061504,             0.00061504,             0.00061504
                     10,                0.31746,                0.78889,                      1,                0.82235,              0.0006009,              0.0006009,              0.0006009
                     11,                0.22701,                0.78889,                      1,                0.79631,             0.00058677,             0.00058677,             0.00058677
                     12,                0.25761,                0.81111,                      1,                 0.7596,             0.00057263,             0.00057263,             0.00057263
                     13,                0.20843,                0.78889,                      1,                0.77588,             0.00055849,             0.00055849,             0.00055849
                     14,                0.22854,                0.81667,                      1,                0.75724,             0.00054435,             0.00054435,             0.00054435
                     15,                0.18639,                0.77778,                      1,                0.78678,             0.00053022,             0.00053022,             0.00053022
                     16,                0.15859,                0.72222,                      1,                0.81657,             0.00051608,             0.00051608,             0.00051608
                     17,                0.20752,                0.76111,                      1,                0.76611,             0.00050194,             0.00050194,             0.00050194
                     18,                0.14721,                0.81667,                      1,                0.74593,              0.0004878,              0.0004878,              0.0004878
                     19,                0.12661,                0.78889,                      1,                0.78719,             0.00047367,             0.00047367,             0.00047367
                     20,                0.25893,                0.78333,                      1,                0.77637,             0.00045953,             0.00045953,             0.00045953
                     21,                0.10968,                0.81111,                      1,                0.75293,             0.00044539,             0.00044539,             0.00044539
                     22,                0.15443,                0.77222,                      1,                0.77881,             0.00043126,             0.00043126,             0.00043126
                     23,                0.18853,                   0.75,                      1,                0.80664,             0.00041712,             0.00041712,             0.00041712
                     24,                0.16614,                0.77222,                      1,                 0.7736,             0.00040298,             0.00040298,             0.00040298
                     25,                0.08304,                0.77778,                      1,                0.77189,             0.00038884,             0.00038884,             0.00038884
                     26,                0.08766,                0.79444,                      1,                0.77262,             0.00037471,             0.00037471,             0.00037471
                     27,                0.10054,                    0.8,                      1,                0.75879,             0.00036057,             0.00036057,             0.00036057
                     28,                0.09611,                0.76111,                      1,                0.77661,             0.00034643,             0.00034643,             0.00034643
                     29,                0.14211,                0.77222,                      1,                0.77238,              0.0003323,              0.0003323,              0.0003323
                     30,                 0.1226,                0.77222,                      1,                 0.7627,             0.00031816,             0.00031816,             0.00031816
                     31,                0.06151,                0.78889,                      1,                0.77214,             0.00030402,             0.00030402,             0.00030402
                     32,                0.11576,                0.76667,                      1,                0.76986,             0.00028988,             0.00028988,             0.00028988
                     33,                0.11044,                0.78333,                      1,                0.76058,             0.00027575,             0.00027575,             0.00027575
                     34,                0.07755,                0.81111,                      1,                0.74178,             0.00026161,             0.00026161,             0.00026161
                     35,                0.08451,                0.78333,                      1,                0.76571,             0.00024747,             0.00024747,             0.00024747
                     36,                0.08985,                0.80556,                      1,                0.76286,             0.00023334,             0.00023334,             0.00023334
                     37,                0.10517,                0.80556,                      1,                0.74471,              0.0002192,              0.0002192,              0.0002192
                     38,                0.13961,                0.81111,                      1,                0.73999,             0.00020506,             0.00020506,             0.00020506
                     39,                0.14299,                0.81111,                      1,                0.75415,             0.00019092,             0.00019092,             0.00019092
                     40,                0.12446,                0.78333,                      1,                0.77661,             0.00017679,             0.00017679,             0.00017679
